,loss,accuracy,binary_accuracy,true_positives,true_negatives,false_positives,false_negatives,precision,val_loss,val_accuracy,val_binary_accuracy,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_precision
0,0.4076683521270752,0.15430861711502075,0.8278889656066895,1736.0,47838.0,3937.0,6369.0,0.3060109317302704,0.328991174697876,0.1814059019088745,0.8696144223213196,247.0,8957.0,194.0,1186.0,0.5600907206535339
1,0.3238227367401123,0.2100200355052948,0.8698898553848267,1288.0,50801.0,974.0,6817.0,0.56940758228302,0.3228764235973358,0.2131519317626953,0.8695200085639954,123.0,9080.0,71.0,1310.0,0.6340206265449524
2,0.3196335732936859,0.2208416759967804,0.8710086941719055,1277.0,50879.0,896.0,6828.0,0.5876668095588684,0.32025146484375,0.19501133263111115,0.8707482218742371,254.0,8962.0,189.0,1179.0,0.5733634233474731
3,0.3170560896396637,0.22364729642868042,0.8712924718856812,1393.0,50780.0,995.0,6712.0,0.5833333134651184,0.31783241033554077,0.20181405544281006,0.8716931939125061,261.0,8965.0,186.0,1172.0,0.5838926434516907
4,0.31494373083114624,0.2276553064584732,0.8717601299285889,1375.0,50826.0,949.0,6730.0,0.5916523337364197,0.3162589967250824,0.2131519317626953,0.8714096546173096,243.0,8980.0,171.0,1190.0,0.5869565010070801
5,0.31328630447387695,0.2232464998960495,0.8725119233131409,1407.0,50839.0,936.0,6698.0,0.6005121469497681,0.31454989314079285,0.21088434755802155,0.8713151812553406,233.0,8989.0,162.0,1200.0,0.5898734331130981
6,0.31134873628616333,0.2276553064584732,0.8726453185081482,1323.0,50931.0,844.0,6782.0,0.6105214357376099,0.31286707520484924,0.20861677825450897,0.8716931939125061,242.0,8984.0,167.0,1191.0,0.591687023639679
7,0.30961355566978455,0.2296593189239502,0.8727287650108337,1410.0,50849.0,926.0,6695.0,0.6035959124565125,0.3121875524520874,0.21541950106620789,0.8715985417366028,221.0,9004.0,147.0,1212.0,0.6005434989929199
8,0.30825626850128174,0.2296593189239502,0.8730294704437256,1375.0,50902.0,873.0,6730.0,0.6116548180580139,0.3106212317943573,0.2131519317626953,0.8723544478416443,202.0,9031.0,120.0,1231.0,0.6273291707038879
9,0.3067649304866791,0.2320641279220581,0.8736806511878967,1372.0,50944.0,831.0,6733.0,0.6227871179580688,0.30985546112060547,0.21088434755802155,0.8720710873603821,232.0,8998.0,153.0,1201.0,0.6025974154472351
10,0.30536502599716187,0.23486973345279694,0.874181866645813,1360.0,50986.0,789.0,6745.0,0.6328524947166443,0.30836236476898193,0.2222222238779068,0.8731103539466858,229.0,9012.0,139.0,1204.0,0.6222826242446899
11,0.3041064441204071,0.2360721379518509,0.8742819428443909,1405.0,50947.0,828.0,6700.0,0.6291983723640442,0.3074977695941925,0.21768707036972046,0.872543454170227,241.0,8994.0,157.0,1192.0,0.6055276393890381
12,0.30219465494155884,0.23967935144901276,0.8748665452003479,1436.0,50951.0,824.0,6669.0,0.6353982090950012,0.30709773302078247,0.23582766950130463,0.8738662600517273,189.0,9060.0,91.0,1244.0,0.675000011920929
13,0.3014269173145294,0.236472949385643,0.8746994733810425,1387.0,50990.0,785.0,6718.0,0.6385819315910339,0.3051941990852356,0.2131519317626953,0.8731104135513306,238.0,9003.0,148.0,1195.0,0.6165803074836731
14,0.29984381794929504,0.23727454245090485,0.8746994137763977,1408.0,50969.0,806.0,6697.0,0.6359530091285706,0.30383744835853577,0.22675736248493195,0.872732400894165,247.0,8990.0,161.0,1186.0,0.6053921580314636
15,0.2987205982208252,0.2492986023426056,0.8749331831932068,1400.0,50991.0,784.0,6705.0,0.6410256624221802,0.3027208149433136,0.21995465457439423,0.8745275735855103,274.0,8982.0,169.0,1159.0,0.6185101866722107
16,0.2973860800266266,0.23967935144901276,0.8756346702575684,1419.0,51014.0,761.0,6686.0,0.6509174108505249,0.3019821345806122,0.21995465457439423,0.8734883069992065,247.0,8998.0,153.0,1186.0,0.6175000071525574
17,0.2960764765739441,0.24368737637996674,0.8756011128425598,1437.0,50994.0,781.0,6668.0,0.6478809714317322,0.301352322101593,0.22448979318141937,0.8733938336372375,241.0,9003.0,148.0,1192.0,0.6195372939109802
18,0.29496508836746216,0.24849699437618256,0.875951886177063,1425.0,51027.0,748.0,6680.0,0.6557754278182983,0.30027690529823303,0.22675736248493195,0.874433159828186,264.0,8991.0,160.0,1169.0,0.6226415038108826
19,0.2938208281993866,0.2472945898771286,0.8759853839874268,1455.0,50999.0,776.0,6650.0,0.6521739363670349,0.2991182506084442,0.22675736248493195,0.8747166991233826,264.0,8994.0,157.0,1169.0,0.6270784139633179
20,0.29278653860092163,0.25250500440597534,0.8764362931251526,1463.0,51018.0,757.0,6642.0,0.6590089797973633,0.2978666424751282,0.22675736248493195,0.8743386268615723,256.0,8998.0,153.0,1177.0,0.6259168982505798
21,0.29170069098472595,0.25090181827545166,0.8765864968299866,1486.0,51004.0,771.0,6619.0,0.6583961248397827,0.29729583859443665,0.2312925159931183,0.8748109936714172,243.0,9016.0,135.0,1190.0,0.6428571343421936
22,0.2905644178390503,0.2561122179031372,0.877388060092926,1479.0,51059.0,716.0,6626.0,0.6738041043281555,0.29639652371406555,0.2312925159931183,0.8740552067756653,253.0,8998.0,153.0,1180.0,0.6231527328491211
23,0.2897319197654724,0.25691384077072144,0.8770542144775391,1497.0,51021.0,754.0,6608.0,0.6650377511978149,0.2954825460910797,0.2290249466896057,0.874622106552124,259.0,8998.0,153.0,1174.0,0.6286407709121704
24,0.288534015417099,0.25531062483787537,0.8773044943809509,1511.0,51022.0,753.0,6594.0,0.6674028038978577,0.2949563264846802,0.25170066952705383,0.8767951130867004,195.0,9085.0,66.0,1238.0,0.7471264600753784
25,0.28769269585609436,0.26132264733314514,0.8775383830070496,1476.0,51071.0,704.0,6629.0,0.6770642399787903,0.29421764612197876,0.24943310022354126,0.8758503198623657,257.0,9013.0,138.0,1176.0,0.650632917881012
26,0.2865479588508606,0.2653306722640991,0.8779222369194031,1513.0,51057.0,718.0,6592.0,0.6781712174415588,0.2929139733314514,0.2222222238779068,0.874905526638031,272.0,8988.0,163.0,1161.0,0.6252873539924622
27,0.28560933470726013,0.25490981340408325,0.8779057860374451,1529.0,51040.0,735.0,6576.0,0.6753533482551575,0.29245540499687195,0.2448979616165161,0.877173125743866,270.0,9014.0,137.0,1163.0,0.6633906364440918
28,0.2847861349582672,0.262124240398407,0.8787907958030701,1583.0,51039.0,736.0,6522.0,0.6826218366622925,0.2916453778743744,0.24263039231300354,0.8759448528289795,260.0,9011.0,140.0,1173.0,0.6499999761581421
29,0.2839409410953522,0.26412826776504517,0.8786073327064514,1533.0,51078.0,697.0,6572.0,0.6874439716339111,0.290435791015625,0.2448979616165161,0.8759447932243347,267.0,9004.0,147.0,1166.0,0.6449275612831116
30,0.2830137610435486,0.2601202428340912,0.8786239624023438,1581.0,51031.0,744.0,6524.0,0.6800000071525574,0.28993281722068787,0.24036280810832977,0.8759447932243347,259.0,9012.0,139.0,1174.0,0.6507537961006165
31,0.28204160928726196,0.268937885761261,0.8791918754577637,1568.0,51078.0,697.0,6537.0,0.692273736000061,0.28916627168655396,0.23356008529663086,0.8757559061050415,272.0,8997.0,154.0,1161.0,0.6384976506233215
32,0.28105947375297546,0.2669338583946228,0.8796426057815552,1641.0,51032.0,743.0,6464.0,0.6883389353752136,0.2882029712200165,0.24943310022354126,0.877456545829773,265.0,9022.0,129.0,1168.0,0.6725888252258301
33,0.2804160416126251,0.27214428782463074,0.8804441094398499,1623.0,51098.0,677.0,6482.0,0.7056521773338318,0.2876386344432831,0.2539682686328888,0.876700758934021,264.0,9015.0,136.0,1169.0,0.6600000262260437
34,0.2793530821800232,0.2757515013217926,0.8801434636116028,1617.0,51086.0,689.0,6488.0,0.7012141942977905,0.2868253290653229,0.2448979616165161,0.8774564266204834,282.0,9005.0,146.0,1151.0,0.65887850522995
35,0.27861934900283813,0.27214428782463074,0.8806779384613037,1679.0,51056.0,719.0,6426.0,0.7001668214797974,0.2859594225883484,0.25170066952705383,0.8785902857780457,270.0,9029.0,122.0,1163.0,0.6887755393981934
