,loss,accuracy,binary_accuracy,true_positives_13,true_negatives_13,false_positives_13,false_negatives_13,precision_13,val_loss,val_accuracy,val_binary_accuracy,val_true_positives_13,val_true_negatives_13,val_false_positives_13,val_false_negatives_13,val_precision_13
0,0.4018492102622986,0.16487455368041992,0.8324644565582275,2176.0,59140.0,3799.0,8541.0,0.36418411135673523,0.3515242636203766,0.15313653647899628,0.8570110201835632,293.0,10855.0,242.0,1618.0,0.5476635694503784
1,0.3433699905872345,0.16878461837768555,0.8597261309623718,1546.0,61778.0,1161.0,9171.0,0.5711119174957275,0.3455059230327606,0.15682657063007355,0.8587023615837097,267.0,10903.0,194.0,1644.0,0.5791757106781006
2,0.3391575515270233,0.17204301059246063,0.8607851266860962,1527.0,61875.0,1064.0,9190.0,0.5893477201461792,0.3427945375442505,0.15682657063007355,0.8591635823249817,271.0,10905.0,192.0,1640.0,0.5853132009506226
3,0.33629482984542847,0.17693059146404266,0.8610702753067017,1550.0,61873.0,1066.0,9167.0,0.5925076603889465,0.3406316041946411,0.16051660478115082,0.8607010841369629,267.0,10929.0,168.0,1644.0,0.6137930750846863
4,0.33399897813796997,0.18442489206790924,0.862183690071106,1473.0,62032.0,907.0,9244.0,0.6189075708389282,0.3382948637008667,0.16605165600776672,0.8593941330909729,268.0,10911.0,186.0,1643.0,0.5903083682060242
5,0.3319990336894989,0.18605409562587738,0.8628353476524353,1561.0,61992.0,947.0,9156.0,0.6224082708358765,0.33639609813690186,0.16051660478115082,0.8590866923332214,295.0,10880.0,217.0,1616.0,0.576171875
6,0.3303568363189697,0.19159334897994995,0.8625909686088562,1567.0,61968.0,971.0,9150.0,0.6174153089523315,0.33531954884529114,0.16605165600776672,0.8595479130744934,293.0,10888.0,209.0,1618.0,0.5836653113365173
7,0.32833802700042725,0.1942000687122345,0.8633104562759399,1600.0,61988.0,951.0,9117.0,0.6272050142288208,0.3331720232963562,0.17712177336215973,0.8614698648452759,244.0,10962.0,135.0,1667.0,0.6437994837760925
8,0.32660624384880066,0.19908764958381653,0.8643422722816467,1601.0,62063.0,876.0,9116.0,0.646346390247345,0.33166274428367615,0.17158672213554382,0.8610854744911194,283.0,10918.0,179.0,1628.0,0.612554132938385
9,0.32521650195121765,0.2036494016647339,0.8645732998847961,1637.0,62044.0,895.0,9080.0,0.6465244889259338,0.330238938331604,0.17896679043769836,0.8620848655700684,290.0,10924.0,173.0,1621.0,0.6263498663902283
10,0.3236461579799652,0.2056044340133667,0.8645594716072083,1641.0,62039.0,900.0,9076.0,0.645808756351471,0.3295249342918396,0.1863468587398529,0.8614698648452759,267.0,10939.0,158.0,1644.0,0.6282352805137634
11,0.3223077058792114,0.20202019810676575,0.8647360801696777,1615.0,62078.0,861.0,9102.0,0.6522617340087891,0.3276665508747101,0.180811807513237,0.8620080947875977,275.0,10938.0,159.0,1636.0,0.6336405277252197
12,0.32081925868988037,0.20853698253631592,0.8653472065925598,1687.0,62051.0,888.0,9030.0,0.6551456451416016,0.32678890228271484,0.1863468587398529,0.8628535866737366,279.0,10945.0,152.0,1632.0,0.6473317742347717
13,0.319405198097229,0.21146953105926514,0.8658356070518494,1662.0,62112.0,827.0,9055.0,0.6677380204200745,0.3265781104564667,0.1752767562866211,0.8611623048782349,323.0,10879.0,218.0,1588.0,0.5970425009727478
14,0.31830939650535583,0.21146953105926514,0.8662429451942444,1732.0,62072.0,867.0,8985.0,0.6664101481437683,0.3243234157562256,0.180811807513237,0.8620848655700684,250.0,10964.0,133.0,1661.0,0.6527414917945862
15,0.31687238812446594,0.20918865501880646,0.8664060235023499,1702.0,62114.0,825.0,9015.0,0.6735259294509888,0.32321614027023315,0.17343173921108246,0.8622385859489441,316.0,10900.0,197.0,1595.0,0.6159843802452087
16,0.3157763183116913,0.21146953105926514,0.8671121597290039,1768.0,62100.0,839.0,8949.0,0.6781741380691528,0.32210999727249146,0.18450184166431427,0.8632380366325378,306.0,10923.0,174.0,1605.0,0.637499988079071
17,0.3143974542617798,0.20918865501880646,0.8674649000167847,1787.0,62107.0,832.0,8930.0,0.6823214888572693,0.3212907910346985,0.17896679043769836,0.8630073666572571,316.0,10910.0,187.0,1595.0,0.628230631351471
18,0.3134547770023346,0.21342456340789795,0.8676279187202454,1827.0,62079.0,860.0,8890.0,0.6799404621124268,0.32011935114860535,0.20110701024532318,0.8633148670196533,256.0,10974.0,123.0,1655.0,0.6754617691040039
19,0.31220006942749023,0.21342456340789795,0.8677501082420349,1777.0,62138.0,801.0,8940.0,0.6892940402030945,0.31921473145484924,0.20479704439640045,0.8633916974067688,263.0,10968.0,129.0,1648.0,0.670918345451355
20,0.31110864877700806,0.21407625079154968,0.8683069348335266,1823.0,62133.0,806.0,8894.0,0.6934195756912231,0.31831786036491394,0.19003690779209137,0.8643910884857178,296.0,10948.0,149.0,1615.0,0.6651685237884521
21,0.3100227415561676,0.2150537669658661,0.8688498735427856,1844.0,62152.0,787.0,8873.0,0.7008742094039917,0.31744492053985596,0.1863468587398529,0.8643911480903625,331.0,10913.0,184.0,1580.0,0.6427184343338013
22,0.30919140577316284,0.22515477240085602,0.8682662844657898,1825.0,62128.0,811.0,8892.0,0.6923368573188782,0.31645646691322327,0.17343173921108246,0.8636993169784546,325.0,10910.0,187.0,1586.0,0.634765625
23,0.3078273832798004,0.2212447077035904,0.8685782551765442,1831.0,62145.0,794.0,8886.0,0.697523832321167,0.31572169065475464,0.19188192486763,0.865236759185791,311.0,10944.0,153.0,1600.0,0.670258641242981
