,loss,accuracy,binary_accuracy,top_1_categorical_accuracy,top_3_categorical_accuracy,top_5_categorical_accuracy,truepositive,truenegative,falsepositive,falsenegative,precision,val_loss,val_accuracy,val_binary_accuracy,val_top_1_categorical_accuracy,val_top_3_categorical_accuracy,val_top_5_categorical_accuracy,val_truepositive,val_truenegative,val_falsepositive,val_falsenegative,val_precision
0,0.20736916363239288,0.3118315637111664,0.9173070788383484,0.3118315637111664,0.66878342628479,0.83121657371521,6443.0,59427.0,1817.0,4121.0,0.7800242304801941,0.620829164981842,0.0037807184271514416,0.7844990491867065,0.0037807184271514416,0.1568998098373413,0.4914933741092682,341.0,9619.0,1247.0,1489.0,0.21473552286624908
1,0.07070890069007874,0.35594919323921204,0.975128173828125,0.35594919323921204,0.8018048405647278,0.9585561752319336,9463.0,60559.0,685.0,1101.0,0.9324989914894104,1.325863003730774,0.18525519967079163,0.7277882695198059,0.18525519967079163,0.47258979082107544,0.5028355121612549,774.0,8466.0,2400.0,1056.0,0.24385632574558258
2,0.038012225180864334,0.34224599599838257,0.9871461391448975,0.34224599599838257,0.8181818127632141,0.9766042828559875,10015.0,60870.0,374.0,549.0,0.964000403881073,0.5387209057807922,0.18525519967079163,0.8612949252128601,0.18525519967079163,0.20982986688613892,0.21550095081329346,299.0,10636.0,230.0,1531.0,0.5652173757553101
3,0.022592173889279366,0.3539438545703888,0.9926332831382751,0.3539438545703888,0.8315507769584656,0.9832887649536133,10255.0,61024.0,220.0,309.0,0.9789975881576538,0.49775514006614685,0.18525519967079163,0.8612949252128601,0.18525519967079163,0.20982986688613892,0.2192816585302353,299.0,10636.0,230.0,1531.0,0.5652173757553101
4,0.01605275273323059,0.34124332666397095,0.9945549964904785,0.34124332666397095,0.8238636255264282,0.9869652390480042,10348.0,61069.0,175.0,216.0,0.983369767665863,0.6338291764259338,0.18525519967079163,0.8482199311256409,0.18525519967079163,0.353497177362442,0.4120982885360718,470.0,10299.0,567.0,1360.0,0.45323047041893005
5,0.010235916823148727,0.3389037549495697,0.9970058798789978,0.3389037549495697,0.8335561752319336,0.9866310358047485,10440.0,61153.0,91.0,124.0,0.9913588166236877,0.5771008133888245,0.05293005704879761,0.8281348347663879,0.05293005704879761,0.20037807524204254,0.25141775608062744,465.0,10049.0,817.0,1365.0,0.3627144992351532
6,0.009645353071391582,0.3756684362888336,0.996880292892456,0.3756684362888336,0.845588207244873,0.9872994422912598,10448.0,61136.0,108.0,116.0,0.9897688627243042,0.8444908261299133,0.18714556097984314,0.8344359397888184,0.18714556097984314,0.2079395055770874,0.23062381148338318,547.0,10047.0,819.0,1283.0,0.40043923258781433
7,0.011513789184391499,0.36296790838241577,0.9962259531021118,0.36296790838241577,0.8459224700927734,0.9903075098991394,10410.0,61127.0,117.0,154.0,0.9888857007026672,0.6680192351341248,0.08317580074071884,0.8367202281951904,0.08317580074071884,0.3345935642719269,0.5973535180091858,503.0,10120.0,746.0,1327.0,0.40272217988967896
8,0.012800549156963825,0.35762032866477966,0.995697021484375,0.35762032866477966,0.8435828685760498,0.9866310358047485,10404.0,61095.0,149.0,160.0,0.9858807921409607,0.2742256224155426,0.18525519967079163,0.9220227599143982,0.18525519967079163,0.517958402633667,0.7580340504646301,1125.0,10581.0,285.0,705.0,0.7978723645210266
9,0.009439429268240929,0.34224599599838257,0.9969223141670227,0.34224599599838257,0.8399063944816589,0.9856283664703369,10438.0,61149.0,95.0,126.0,0.9909807443618774,0.20459502935409546,0.3005671203136444,0.9402962327003479,0.3005671203136444,0.7863894104957581,0.9432892203330994,1469.0,10469.0,397.0,361.0,0.7872454524040222
