,loss,accuracy,binary_accuracy,true_positives_13,true_negatives_13,false_positives_13,false_negatives_13,precision_13,val_loss,val_accuracy,val_binary_accuracy,val_true_positives_13,val_true_negatives_13,val_false_positives_13,val_false_negatives_13,val_precision_13
0,0.19899195432662964,0.3082920014858246,0.9216720461845398,6287.0,56136.0,1700.0,3605.0,0.7871541380882263,0.5272471308708191,0.0020040080416947603,0.780143678188324,308.0,9035.0,1224.0,1409.0,0.20104438066482544
1,0.06597351282835007,0.35364988446235657,0.9770110845565796,8867.0,57304.0,532.0,1025.0,0.9433982372283936,0.9692012071609497,0.004008016083389521,0.7715430855751038,239.0,9001.0,1258.0,1478.0,0.15965263545513153
2,0.03510909900069237,0.35542169213294983,0.9875975251197815,9380.0,57508.0,328.0,512.0,0.9662134051322937,0.5741943717002869,0.0020040080416947603,0.8195557594299316,277.0,9538.0,721.0,1440.0,0.27755510807037354
3,0.022002212703227997,0.37703755497932434,0.9924108982086182,9596.0,57618.0,218.0,296.0,0.9777868390083313,0.5368849635124207,0.0020040080416947603,0.8218937516212463,136.0,9707.0,552.0,1581.0,0.19767442345619202
4,0.016038693487644196,0.3745570480823517,0.9948619604110718,9692.0,57688.0,148.0,200.0,0.9849593639373779,0.604148805141449,0.0020040080416947603,0.8317468166351318,135.0,9826.0,433.0,1582.0,0.23767605423927307
5,0.02416001632809639,0.37207654118537903,0.9921746253967285,9571.0,57627.0,209.0,321.0,0.9786298274993896,0.6949309706687927,0.004008016083389521,0.8365063667297363,174.0,9844.0,415.0,1543.0,0.2954159677028656
6,0.016776204109191895,0.3678242266178131,0.9951127767562866,9708.0,57689.0,147.0,184.0,0.9850836992263794,0.7930203080177307,0.0721442922949791,0.8322477340698242,389.0,9578.0,681.0,1328.0,0.36355140805244446
7,0.007307317107915878,0.36640679836273193,0.9975637197494507,9802.0,57761.0,75.0,90.0,0.9924066066741943,0.405010461807251,0.1663326621055603,0.8832665681838989,689.0,9889.0,370.0,1028.0,0.6506137847900391
8,0.010190876200795174,0.3841247260570526,0.9970026612281799,9787.0,57738.0,98.0,105.0,0.9900859594345093,0.2009013295173645,0.23246492445468903,0.9342017769813538,1052.0,10136.0,123.0,665.0,0.8953191637992859
9,0.005708744283765554,0.3912118971347809,0.9984052181243896,9833.0,57787.0,49.0,59.0,0.9950414896011353,0.08019354939460754,0.2865731418132782,0.9742818474769592,1509.0,10159.0,100.0,208.0,0.9378495812416077
10,0.009582494385540485,0.39865344762802124,0.99723881483078,9789.0,57752.0,84.0,103.0,0.991491973400116,0.09216369688510895,0.24849699437618256,0.9711923599243164,1542.0,10089.0,170.0,175.0,0.9007009267807007
11,0.015676099807024002,0.39156627655029297,0.9950539469718933,9720.0,57673.0,163.0,172.0,0.9835070371627808,0.12785306572914124,0.29859718680381775,0.9579992890357971,1414.0,10059.0,200.0,303.0,0.8760842680931091
12,0.005349151324480772,0.36959603428840637,0.9984347820281982,9836.0,57786.0,50.0,56.0,0.9949423670768738,0.05807141959667206,0.328657329082489,0.9868905544281006,1625.0,10194.0,65.0,92.0,0.9615384340286255
13,0.006803722120821476,0.35329553484916687,0.9980507493019104,9824.0,57772.0,64.0,68.0,0.9935275316238403,0.05513850599527359,0.39278557896614075,0.984969973564148,1611.0,10185.0,74.0,106.0,0.9560830593109131
